"","rowid","blockType","diceIndices_1","diceIndices_2","block","trialIndex","allTrialIndex","key","R","startSqueezyAcquisition","stateTime","state","diceWeights_1","diceWeights_2","diceWeights_3","diceWeights_4","criteria_1","criteria_2","criteria_3","criteria_4","criteria_5","bank","purse_1","purse_2","diceRollTime","break.","chosenDice","startDice","chosenDiceLocation","endDice","chosenWinProbs_1","chosenWinProbs_2","unchosenDice","rand_1","rand_2","winnings_1","winnings_2","randRwd","allowedWinnings_1","allowedWinnings_2","totalWin","isPurseFull_1","isPurseFull_2","winCurrency","isWinPurseFull","startReward","endReward","isPurseFullAfterReward_1","isPurseFullAfterReward_2","meanRecentChoice","moveToBank","goToNextState","recentPreference_1","recentPreference_2","startITI","startScan","subject_nr","stateName","correctDice","correct"
"400",401,1,1,2,1,171,171,0,1,529267.1716659,8,19,0,0,0,0,0,0,8,0,1,85,0,5,1.776607160859,0,2,529267.5161353,2,529267.8769122,0,0,0,0.0862374206208487,0.124567027622417,0,0,0.268992411627626,0,0,0,0,1,0,0,529269.7177792,529270.2481043,0,1,1.33333333333333,0,1,0,0,529270.2497987,528669.0724677,23,"extinction",2,1
"401",402,1,1,2,1,172,172,0,1,529270.6020321,1,20,0,0.85,0.85,0,0,2,20,2,1,85,1,5,1.43637342182228,0,2,529270.9356577,2,529271.2581639,0.85,0,0,0.0277307881863524,0.344549631169666,1,0,0.0588189885750394,1,0,1,0,1,1,0,529272.7711493,529273.3186265,0,1,1.44444444444444,0,0,0,0,529273.3195562,528669.0724677,23,"reinstatement",2,1
"402",403,1,1,2,1,173,173,0,1,529273.7656016,2,20,0,0.85,0.85,0,0,2,20,2,1,85,2,5,0.806729010227361,0,2,529274.1046938,2,529274.4371134,0.85,0,0,0.357450065567783,0.460870644471507,1,0,0.45001790268226,1,0,1,0,1,1,0,529275.3056735,529275.8351491,0,1,1.55555555555556,0,0,0,0,529275.835853,528669.0724677,23,"reinstatement",2,1
"403",404,1,1,2,1,174,174,0,1,529276.2798032,3,20,0,0.85,0.85,0,0,2,20,2,1,85,3,5,0.648058968791564,0,2,529276.6235375,2,529276.9450176,0.85,0,0,0.08969880080729,0.843126723737915,1,0,0.734811308561236,1,0,1,0,1,1,0,529277.6750469,529278.2028016,0,1,1.66666666666667,0,0,0,0,529278.2036538,528669.0724677,23,"reinstatement",2,1
"404",405,1,1,2,1,175,175,0,1,529278.6407057,4,20,0,0.85,0.85,0,0,2,20,2,1,85,4,5,2.55560347714042,0,2,529278.9921674,2,529279.304166,0.85,0,0,0.32386851748312,0.28899577179035,1,0,0.108096848222451,1,0,1,0,1,1,0,529281.9279588,529282.4546702,0,1,1.66666666666667,0,0,0,0,529282.4553989,528669.0724677,23,"reinstatement",2,1
"405",406,1,1,2,1,176,176,0,1,529282.9088097,5,20,0,0.85,0.85,0,0,2,20,2,1,85,4,5,0.7753733945396,0,2,529283.2458766,2,529283.6801137,0.85,0,0,0.939847289521883,0.0249808543583472,0,0,0.31723033264174,0,0,0,0,1,0,0,529284.5132635,529285.0393927,0,1,1.77777777777778,0,0,0,1,529285.040757,528669.0724677,23,"reinstatement",2,1
"406",407,1,1,2,1,177,177,0,1,529285.3649695,6,20,0,0.85,0.85,0,0,2,20,2,1,90,0,5,1.40487451840993,0,2,529285.6978536,2,529286.1947974,0.85,0,0,0.157513832636887,0.32281074008408,1,0,0.749751795896423,1,0,1,0,1,1,0,529287.6659651,529288.195833,1,1,1.88888888888889,1,0,0,1,529289.5620798,528669.0724677,23,"reinstatement",2,1
"407",408,1,2,1,1,178,178,0,1,529290.0734396,7,20,0,0.85,0.85,0,0,2,20,2,1,90,1,5,1.10756008991533,0,2,529290.418487,1,529291.1600814,0.85,0,0,0.557404408313844,0.499406382345646,1,0,0.33511380004923,1,0,1,0,1,1,0,529292.3365852,529292.8665731,0,1,1.88888888888889,0,0,0,1,529292.8672991,528669.0724677,23,"reinstatement",2,1
"408",409,1,2,1,1,179,179,0,1,529293.3018727,8,20,0,0.85,0.85,0,0,2,20,2,1,90,2,5,1.69489747521867,0,2,529293.6377864,1,529293.9988479,0.85,0,0,0.124353302188634,0.684811640633371,1,0,0.53608986371321,1,0,1,0,1,1,0,529295.7561057,529296.283913,0,1,2,0,0,0,1,529296.2846151,528669.0724677,23,"reinstatement",2,1
"409",410,1,1,2,1,180,180,0,1,529296.7375045,9,20,0,0.85,0.85,0,0,2,20,2,1,90,3,5,1.56708568368213,0,2,529297.0739789,2,529297.4972437,0.85,0,0,0.622626766943059,0.686749123058141,1,0,0.727428316739543,1,0,1,0,1,1,0,529299.1429046,529299.6706394,0,1,2,0,0,0,1,529299.6713591,528669.0724677,23,"reinstatement",2,1
"410",411,1,1,2,1,181,181,0,1,529300.3645462,10,20,0,0.85,0.85,0,0,2,20,2,1,90,3,5,1.96288717559197,0,2,529300.7102184,2,529301.1648078,0.85,0,0,0.111350920226773,0.41077949721457,0,1,0.910586481297098,0,0,1,0,1,2,1,529303.157086,529303.1893377,0,1,2,0,0,0,1,529303.9187889,528669.0724677,23,"reinstatement",2,1
"411",412,1,2,1,1,182,182,0,1,529304.3345867,11,20,0,0.85,0.85,0,0,2,20,2,1,90,4,5,1.52693807890149,0,2,529304.6802467,1,529305.4452184,0.85,0,0,0.529159259097642,0.875314100901152,1,0,0.495780510819413,1,0,1,0,1,1,0,529307.0321332,529307.5635492,0,1,2,0,0,0,1,529307.5643829,528669.0724677,23,"reinstatement",2,1
"412",413,1,2,1,1,183,183,0,1,529308.0019944,12,20,0,0.85,0.85,0,0,2,20,2,1,90,4,5,1.24766085542164,0,1,529308.3332187,2,529310.2149193,0,0.85,1,0.420216454207708,0.330913499826385,0,1,0.537145550762428,0,0,1,0,1,2,1,529311.4993756,529311.5361306,0,1,2,0,0,0,1,529312.2825128,528669.0724677,23,"reinstatement",2,0
"413",414,1,2,1,1,184,184,0,1,529312.7130807,13,20,0,0.85,0.85,0,0,2,20,2,1,100,0,0,2.30944096533168,0,2,529313.0539268,1,529313.4437055,0.85,0,0,0.525762510142566,0.330443787180832,1,0,0.509998636074514,1,0,1,0,1,1,0,529315.8228115,529316.3573305,1,1,1.88888888888889,3,1,0,1,529318.6356965,528669.0724677,23,"reinstatement",2,1
"414",415,1,2,1,1,185,185,0,1,529319.1526484,1,21,0,0.85,0.85,0,0,0,4,0,3,100,1,0,2.42681555810401,0,2,529319.4926062,1,529319.9309203,0.85,0,0,0.66169143442451,0.610408092410165,1,0,0.60803090591248,1,0,1,0,0,1,0,529322.4114836,529322.941653,0,0,1.88888888888889,0,0,0,1,529322.9423762,528669.0724677,23,"post",3,0
"415",416,1,1,2,1,186,186,0,1,529323.3681252,2,21,0,0.85,0.85,0,0,0,4,0,3,100,2,0,1.35636599853996,0,2,529323.7128202,2,529325.1092962,0.85,0,0,0.100164005601694,0.707695578676483,1,0,0.0997513720333247,1,0,1,0,0,1,0,529326.5317049,529327.0706815,0,0,1.88888888888889,0,0,0,1,529327.071528,528669.0724677,23,"post",3,0
"416",417,1,2,1,1,187,187,0,1,529327.5096004,3,21,0,0.85,0.85,0,0,0,4,0,3,100,2,1,0.842603143808026,0,2,529327.8495454,1,529328.2074778,0.85,0,0,0.369609260148303,0.455267443469382,0,1,0.857139492710787,0,1,1,0,0,2,0,529329.1171906,529329.6498344,0,0,1.88888888888889,0,0,0,1,529329.6507999,528669.0724677,23,"post",3,0
"417",418,1,1,2,1,188,188,0,1,529330.0876971,4,21,0,0.85,0.85,0,0,0,4,0,3,100,3,1,1.4232106587255,0,2,529330.4350728,2,529330.7381961,0.85,0,0,0.198478266931605,0.312683509023979,1,0,0.641019052164469,1,0,1,0,0,1,0,529332.2196017,529332.7461209,0,0,1.88888888888889,0,1,0,1,529332.7470152,528669.0724677,23,"post",3,0
"418",419,1,1,2,1,189,189,0,1,529333.1833196,1,2,0.85,0,0,0.15,0,1,20,0,3,100,3,1,2.19479467045568,0,2,529333.5209232,2,529333.9426887,0,0.15,0,0.759290813809412,0.558599103333568,0,0,0.267944604776873,0,0,0,0,0,0,0,529336.1896837,529336.7203733,0,0,1.88888888888889,0,0,0,1,529336.7217676,528669.0724677,23,"learning",1,0
"419",420,1,2,1,1,190,190,0,1,529337.0282856,2,2,0.85,0,0,0.15,0,1,20,0,3,100,4,1,1.75589928868617,0,1,529337.3742047,2,529338.0694178,0.85,0,1,0.0619300775509872,0.677772625132863,1,0,0.0429700830814167,1,0,1,0,0,1,0,529339.8926115,529340.4202357,0,0,1.88888888888889,0,0,0,1,529340.4209525,528669.0724677,23,"learning",1,1
